Дата	Отдел.Код	Товар.Код	Час	Количество	Сумма
06.01.2004	1	1145	13	1	
06.01.2004	1	2289	14	1	
06.01.2004	1	11931	10	1	
06.01.2004	1	21270	15	1	
06.01.2004	1	21270	19	1	
06.01.2004	1	27490	16	1	
06.01.2004	1	32438	19	1	
06.01.2004	1	33513	12	1	
06.01.2004	1	33513	19	1	
06.01.2004	1	33704	14	1	
06.01.2004	1	50780	8	1	
06.01.2004	1	50780	9	2	
06.01.2004	1	50780	10	1	
06.01.2004	1	50780	11	1	
06.01.2004	1	50780	14	1	
06.01.2004	1	50780	16	1	
06.01.2004	1	50780	18	2	
06.01.2004	1	50780	20	1	
06.01.2004	1	58592	12	1	
06.01.2004	1	70284	16	1	
06.01.2004	1	79108	13	1	
06.01.2004	1	82545	15	1	
06.01.2004	1	82545	17	1	
06.01.2004	1	82845	15	2	
06.01.2004	1	83480	8	10	
07.01.2004	1	828	13	1	
07.01.2004	1	33068	13	1	
07.01.2004	1	38453	14	1	
07.01.2004	1	43728	10	2	
07.01.2004	1	50780	12	1	
07.01.2004	1	50780	16	1	
07.01.2004	1	50780	17	1	
07.01.2004	1	58590	16	1	
07.01.2004	1	83563	19	1	
08.01.2004	1	28092	13	1	
08.01.2004	1	28560	18	1	
08.01.2004	1	31052	12	1	
08.01.2004	1	32427	19	1	
08.01.2004	1	32435	14	2	
08.01.2004	1	33513	17	1	
08.01.2004	1	36259	10	1	
08.01.2004	1	36259	17	1	
08.01.2004	1	40345	18	1	
08.01.2004	1	50780	16	1	
08.01.2004	1	50780	17	1	
08.01.2004	1	50780	19	1	
08.01.2004	1	50780	20	1	
08.01.2004	1	79038	13	1	
09.01.2004	1	828	11	1	
09.01.2004	1	3626	12	1	
09.01.2004	1	11291	19	2	
09.01.2004	1	11824	16	1	
09.01.2004	1	25127	20	1	
09.01.2004	1	28558	16	2	
09.01.2004	1	32427	16	1	
09.01.2004	1	32560	15	1	
09.01.2004	1	33037	18	1	
09.01.2004	1	36259	9	1	
09.01.2004	1	36259	14	1	
09.01.2004	1	50780	9	2	
09.01.2004	1	50780	11	1	
09.01.2004	1	50780	15	1	
09.01.2004	1	50780	16	1	
09.01.2004	1	50780	17	2	
09.01.2004	1	50780	18	1	
09.01.2004	1	82545	13	1	
10.01.2004	1	828	12	1	
10.01.2004	1	828	15	1	
10.01.2004	1	8790	11	1	
10.01.2004	1	11834	11	1	
10.01.2004	1	27498	14	1	
10.01.2004	1	32560	12	1	
10.01.2004	1	32560	16	1	
10.01.2004	1	36259	11	1	
10.01.2004	1	36259	14	1	
10.01.2004	1	38453	13	1	
10.01.2004	1	45816	20	1	
10.01.2004	1	50780	13	2	
10.01.2004	1	50780	14	1	
10.01.2004	1	50780	15	1	
10.01.2004	1	50780	16	2	
10.01.2004	1	50780	18	1	
10.01.2004	1	51407	19	1	
10.01.2004	1	58590	20	1	
10.01.2004	1	78981	9	1	
10.01.2004	1	78981	19	1	
10.01.2004	1	79054	13	2	
10.01.2004	1	82845	18	2	
10.01.2004	1	83480	9	10	
11.01.2004	1	828	12	1	
11.01.2004	1	10648	16	1	
11.01.2004	1	15955	11	1	
11.01.2004	1	21269	11	1	
11.01.2004	1	31052	10	1	
11.01.2004	1	31052	19	1	
11.01.2004	1	33513	9	1	
11.01.2004	1	36259	14	1	
11.01.2004	1	36259	20	1	
11.01.2004	1	38453	18	1	
11.01.2004	1	45810	14	1	
11.01.2004	1	50780	8	2	
11.01.2004	1	50780	10	1	
11.01.2004	1	50780	18	1	
11.01.2004	1	51407	14	1	
11.01.2004	1	79054	14	1	
11.01.2004	1	79054	17	2	
11.01.2004	1	82545	11	1	
11.01.2004	1	82545	13	1	
11.01.2004	1	82845	10	2	
12.01.2004	1	828	13	1	
12.01.2004	1	828	18	1	
12.01.2004	1	2290	10	1	
12.01.2004	1	2291	14	1	
12.01.2004	1	11931	15	1	
12.01.2004	1	27498	20	1	
12.01.2004	1	31052	8	1	
12.01.2004	1	36259	10	1	
12.01.2004	1	36259	12	1	
12.01.2004	1	36259	17	1	
12.01.2004	1	41527	9	1	
12.01.2004	1	42879	9	1	
12.01.2004	1	45819	17	1	
12.01.2004	1	50780	10	3	
12.01.2004	1	50780	14	2	
12.01.2004	1	50780	17	2	
12.01.2004	1	50780	20	1	
12.01.2004	1	57168	11	1	
12.01.2004	1	82545	17	1	
13.01.2004	1	828	16	1	
13.01.2004	1	11931	19	1	
13.01.2004	1	33340	12	1	
13.01.2004	1	36259	10	1	
13.01.2004	1	36259	15	1	
13.01.2004	1	40345	20	3	
13.01.2004	1	50780	8	1	
13.01.2004	1	50780	10	2	
13.01.2004	1	50780	12	2	
13.01.2004	1	50780	17	3	
13.01.2004	1	52458	14	1	
13.01.2004	1	57923	15	1	
13.01.2004	1	83563	16	1	
14.01.2004	1	10648	19	1	
14.01.2004	1	11291	18	1	
14.01.2004	1	28092	13	1	
14.01.2004	1	28551	11	1	
14.01.2004	1	28560	11	1	
14.01.2004	1	31052	19	1	
14.01.2004	1	40345	17	1	
14.01.2004	1	50780	15	1	
14.01.2004	1	50780	16	1	
14.01.2004	1	51406	13	1	
14.01.2004	1	52458	11	1	
14.01.2004	1	52458	12	1	
14.01.2004	1	58592	15	1	
14.01.2004	1	78981	17	1	
14.01.2004	1	82545	17	1	
15.01.2004	1	11291	18	1	
15.01.2004	1	11291	19	1	
15.01.2004	1	11945	17	1	
15.01.2004	1	20475	18	1	
15.01.2004	1	20529	18	1	
15.01.2004	1	21269	13	1	
15.01.2004	1	33068	13	1	
15.01.2004	1	33340	15	1	
15.01.2004	1	36259	16	1	
15.01.2004	1	50780	9	2	
15.01.2004	1	50780	17	1	
15.01.2004	1	66644	14	1	
15.01.2004	1	66644	18	1	
15.01.2004	1	78981	14	1	
15.01.2004	1	82545	9	1	
15.01.2004	1	82545	13	1	
16.01.2004	1	11829	12	6	
16.01.2004	1	11946	15	1	
16.01.2004	1	21269	12	1	
16.01.2004	1	24061	13	1	
16.01.2004	1	24909	19	1	
16.01.2004	1	32593	15	1	
16.01.2004	1	33068	16	1	
16.01.2004	1	33340	13	1	
16.01.2004	1	33340	15	1	
16.01.2004	1	34687	11	1	
16.01.2004	1	36259	10	1	
16.01.2004	1	38452	11	1	
16.01.2004	1	45819	18	1	
16.01.2004	1	50780	9	1	
16.01.2004	1	50780	14	1	
16.01.2004	1	73820	10	1	
16.01.2004	1	82545	17	1	
16.01.2004	1	82545	18	3	
17.01.2004	1	11291	16	1	
17.01.2004	1	11931	9	1	
17.01.2004	1	31052	12	1	
17.01.2004	1	32275	10	1	
17.01.2004	1	32427	13	1	
17.01.2004	1	34687	10	1	
17.01.2004	1	34687	15	1	
17.01.2004	1	43701	14	2	
17.01.2004	1	45807	17	1	
17.01.2004	1	50780	8	1	
17.01.2004	1	52458	9	1	
17.01.2004	1	82545	12	1	
17.01.2004	1	82545	14	1	
18.01.2004	1	839	16	1	
18.01.2004	1	11834	13	1	
18.01.2004	1	28558	11	1	
18.01.2004	1	33513	15	1	
18.01.2004	1	41527	15	1	
18.01.2004	1	43728	11	1	
18.01.2004	1	50780	9	1	
18.01.2004	1	62773	15	1	
18.01.2004	1	81930	14	1	
18.01.2004	1	82545	16	2	
18.01.2004	1	83149	11	1	
18.01.2004	1	83149	12	1	
18.01.2004	1	83215	12	1	
18.01.2004	1	83454	14	1	
19.01.2004	1	2290	11	1	
19.01.2004	1	11308	19	1	
19.01.2004	1	11834	11	1	
19.01.2004	1	11945	18	1	
19.01.2004	1	21269	14	1	
19.01.2004	1	31050	16	1	
19.01.2004	1	31050	18	1	
19.01.2004	1	31054	17	1	
19.01.2004	1	32436	19	2	
19.01.2004	1	32438	18	1	
19.01.2004	1	33340	19	1	
19.01.2004	1	36259	8	1	
19.01.2004	1	36259	11	1	
19.01.2004	1	50780	11	1	
19.01.2004	1	50780	14	1	
19.01.2004	1	52458	17	1	
19.01.2004	1	73820	12	1	
19.01.2004	1	82154	10	1	
19.01.2004	1	83052	16	1	
20.01.2004	1	1151	18	1	
20.01.2004	1	2825	18	1	
20.01.2004	1	11308	14	1	
20.01.2004	1	11834	10	1	
20.01.2004	1	11931	12	1	
20.01.2004	1	20475	19	1	
20.01.2004	1	20482	11	1	
20.01.2004	1	20529	17	1	
20.01.2004	1	31050	19	1	
20.01.2004	1	32427	11	1	
20.01.2004	1	33340	17	1	
20.01.2004	1	33513	11	1	
20.01.2004	1	43701	15	1	
20.01.2004	1	43728	19	1	
20.01.2004	1	58040	18	1	
20.01.2004	1	79054	9	1	
20.01.2004	1	82545	9	1	
20.01.2004	1	82545	13	1	
21.01.2004	1	15955	14	1	
21.01.2004	1	27498	17	1	
21.01.2004	1	28092	15	1	
21.01.2004	1	31050	16	1	
21.01.2004	1	32560	11	1	
21.01.2004	1	33340	18	1	
21.01.2004	1	36259	12	1	
21.01.2004	1	36259	18	1	
21.01.2004	1	45911	14	2	
21.01.2004	1	71804	18	1	
21.01.2004	1	79054	11	1	
21.01.2004	1	79107	11	1	
21.01.2004	1	82545	11	1	
21.01.2004	1	82545	14	1	
21.01.2004	1	83149	14	1	
22.01.2004	1	1151	13	1	
22.01.2004	1	11931	9	1	
22.01.2004	1	11946	17	1	
22.01.2004	1	21269	15	1	
22.01.2004	1	31050	19	1	
22.01.2004	1	32560	16	1	
22.01.2004	1	34687	11	1	
22.01.2004	1	36768	14	1	
22.01.2004	1	43728	19	2	
22.01.2004	1	50780	9	3	
22.01.2004	1	50780	17	1	
22.01.2004	1	51406	19	1	
22.01.2004	1	52458	12	1	
22.01.2004	1	70284	13	1	
22.01.2004	1	79107	12	1	
22.01.2004	1	82545	15	1	
22.01.2004	1	83149	19	1	
23.01.2004	1	6278	19	1	
23.01.2004	1	11834	12	1	
23.01.2004	1	32560	17	2	
23.01.2004	1	36259	16	1	
23.01.2004	1	43723	20	1	
23.01.2004	1	50780	10	2	
23.01.2004	1	50780	16	1	
23.01.2004	1	52458	19	1	
23.01.2004	1	78981	8	1	
23.01.2004	1	83667	19	1	
24.01.2004	1	839	20	1	
24.01.2004	1	846	16	1	
24.01.2004	1	10256	12	2	
24.01.2004	1	11824	14	1	
24.01.2004	1	31050	12	1	
24.01.2004	1	32427	13	1	
24.01.2004	1	32560	18	1	
24.01.2004	1	32560	14	2	
24.01.2004	1	43723	17	1	
24.01.2004	1	45911	13	1	
24.01.2004	1	52458	13	1	
24.01.2004	1	57168	11	1	
24.01.2004	1	82545	10	1	
24.01.2004	1	82545	11	1	
24.01.2004	1	82545	12	1	
24.01.2004	1	83149	11	1	
25.01.2004	1	10648	15	1	
25.01.2004	1	11946	12	1	
25.01.2004	1	11946	14	1	
25.01.2004	1	24909	13	1	
25.01.2004	1	24910	13	2	
25.01.2004	1	27498	14	1	
25.01.2004	1	36768	11	1	
25.01.2004	1	70284	14	1	
25.01.2004	1	79107	13	1	
25.01.2004	1	83149	16	1	
26.01.2004	1	10256	16	1	
26.01.2004	1	11824	15	1	
26.01.2004	1	11824	18	1	
26.01.2004	1	24909	17	1	
26.01.2004	1	24910	10	1	
26.01.2004	1	27490	19	1	
26.01.2004	1	27498	16	1	
26.01.2004	1	28092	18	2	
26.01.2004	1	32593	11	1	
26.01.2004	1	33340	18	1	
26.01.2004	1	33461	17	1	
26.01.2004	1	52458	18	1	
26.01.2004	1	70284	11	1	
26.01.2004	1	75406	15	1	
26.01.2004	1	78981	12	1	
26.01.2004	1	82545	15	1	
26.01.2004	1	83480	12	10	
27.01.2004	1	839	17	1	
27.01.2004	1	1151	17	1	
27.01.2004	1	11946	13	1	
27.01.2004	1	28092	17	1	
27.01.2004	1	31050	16	1	
27.01.2004	1	32560	8	1	
27.01.2004	1	45806	17	1	
27.01.2004	1	52458	14	1	
27.01.2004	1	75406	11	1	
27.01.2004	1	82545	13	1	
27.01.2004	1	83149	16	1	
27.01.2004	1	83563	13	1	
28.01.2004	1	839	18	1	
28.01.2004	1	11946	18	1	
28.01.2004	1	27490	20	1	
28.01.2004	1	27498	15	1	
28.01.2004	1	31050	17	1	
28.01.2004	1	32427	14	1	
28.01.2004	1	32438	15	1	
28.01.2004	1	41527	15	1	
28.01.2004	1	52458	17	1	
28.01.2004	1	78981	16	1	
28.01.2004	1	82545	17	1	
28.01.2004	1	83480	16	5	
28.01.2004	1	83667	13	1	
29.01.2004	1	848	10	1	
29.01.2004	1	11946	20	1	
29.01.2004	1	31050	13	1	
29.01.2004	1	32427	16	1	
29.01.2004	1	33340	14	1	
29.01.2004	1	36259	18	2	
29.01.2004	1	43723	17	2	
29.01.2004	1	82154	13	1	
29.01.2004	1	82545	16	2	
30.01.2004	1	11291	16	1	
30.01.2004	1	31054	10	1	
30.01.2004	1	32438	16	1	
30.01.2004	1	43700	20	1	
30.01.2004	1	43723	17	1	
30.01.2004	1	50780	19	5	
30.01.2004	1	52458	16	2	
30.01.2004	1	65840	19	1	
30.01.2004	1	71804	15	1	
30.01.2004	1	78981	16	1	
30.01.2004	1	82545	20	1	
30.01.2004	1	82845	8	2	
31.01.2004	1	839	12	1	
31.01.2004	1	11946	10	1	
31.01.2004	1	13840	9	1	
31.01.2004	1	24909	9	1	
31.01.2004	1	31054	10	2	
31.01.2004	1	33513	14	2	
31.01.2004	1	50780	8	1	
31.01.2004	1	50780	9	2	
31.01.2004	1	50780	10	1	
31.01.2004	1	71804	11	1	
31.01.2004	1	78981	11	1	
31.01.2004	1	82154	20	1	
31.01.2004	1	83052	12	1	
31.01.2004	1	83052	19	1	
31.01.2004	1	83149	14	1	
31.01.2004	1	83667	11	1	
01.02.2004	1	1151	18	1	
01.02.2004	1	11946	9	1	
01.02.2004	1	27498	9	1	
01.02.2004	1	31050	13	1	
01.02.2004	1	32427	15	1	
01.02.2004	1	32560	18	2	
01.02.2004	1	36259	15	1	
01.02.2004	1	36259	17	1	
01.02.2004	1	38453	13	1	
01.02.2004	1	43700	15	1	
01.02.2004	1	45809	15	1	
01.02.2004	1	45810	14	1	
01.02.2004	1	71804	16	1	
01.02.2004	1	75406	13	1	
01.02.2004	1	79054	18	3	
01.02.2004	1	82545	19	1	
01.02.2004	1	83149	17	1	
02.02.2004	1	848	17	1	
02.02.2004	1	21269	17	1	
02.02.2004	1	21269	19	1	
02.02.2004	1	31050	19	1	
02.02.2004	1	32560	17	4	
02.02.2004	1	33513	13	2	
02.02.2004	1	36259	14	1	
02.02.2004	1	41527	17	1	
02.02.2004	1	43700	14	1	
02.02.2004	1	43700	18	1	
02.02.2004	1	45911	18	4	
02.02.2004	1	52458	13	1	
02.02.2004	1	62773	11	1	
02.02.2004	1	62773	15	1	
02.02.2004	1	71804	14	1	
02.02.2004	1	78981	17	1	
02.02.2004	1	82545	17	1	
02.02.2004	1	83454	10	1	
03.02.2004	1	848	18	1	
03.02.2004	1	21269	15	1	
03.02.2004	1	21269	17	1	
03.02.2004	1	24061	8	1	
03.02.2004	1	33068	10	1	
03.02.2004	1	33340	18	1	
03.02.2004	1	40372	18	1	
03.02.2004	1	71804	19	1	
03.02.2004	1	79054	20	1	
03.02.2004	1	82545	14	1	
03.02.2004	1	82545	20	1	
03.02.2004	1	83052	10	3	
04.02.2004	1	11946	16	1	
04.02.2004	1	24061	10	1	
04.02.2004	1	27498	8	1	
04.02.2004	1	27498	13	2	
04.02.2004	1	27498	18	1	
04.02.2004	1	31050	13	1	
04.02.2004	1	32435	10	1	
04.02.2004	1	36259	11	1	
04.02.2004	1	41527	18	1	
04.02.2004	1	52458	20	1	
04.02.2004	1	66647	17	1	
04.02.2004	1	70284	13	1	
04.02.2004	1	71804	16	1	
04.02.2004	1	81930	16	1	
04.02.2004	1	82545	16	1	
05.02.2004	1	2291	19	1	
05.02.2004	1	11824	11	1	
05.02.2004	1	28560	11	1	
05.02.2004	1	31050	9	1	
05.02.2004	1	31050	10	1	
05.02.2004	1	32435	13	1	
05.02.2004	1	32560	17	2	
05.02.2004	1	32560	18	1	
05.02.2004	1	33036	12	1	
05.02.2004	1	33068	12	1	
05.02.2004	1	33340	13	1	
05.02.2004	1	43700	17	1	
05.02.2004	1	52458	11	1	
05.02.2004	1	52458	16	1	
05.02.2004	1	71804	10	1	
05.02.2004	1	75406	13	1	
05.02.2004	1	79054	17	2	
05.02.2004	1	82545	13	1	
05.02.2004	1	82545	17	1	
05.02.2004	1	83215	10	1	
06.02.2004	1	487	13	5	
06.02.2004	1	487	18	1	
06.02.2004	1	11308	18	1	
06.02.2004	1	11829	18	1	
06.02.2004	1	13840	12	1	
06.02.2004	1	31050	18	1	
06.02.2004	1	32438	15	1	
06.02.2004	1	32560	15	4	
06.02.2004	1	32560	18	1	
06.02.2004	1	33340	17	1	
06.02.2004	1	41527	14	1	
06.02.2004	1	45816	19	1	
06.02.2004	1	57168	14	1	
06.02.2004	1	71804	15	3	
06.02.2004	1	75406	16	1	
06.02.2004	1	82545	18	1	
06.02.2004	1	83454	20	1	
07.02.2004	1	1151	14	1	
07.02.2004	1	2290	10	1	
07.02.2004	1	11824	9	1	
07.02.2004	1	19335	14	2	
07.02.2004	1	21270	14	1	
07.02.2004	1	25127	18	1	
07.02.2004	1	27490	13	1	
07.02.2004	1	34687	12	1	
07.02.2004	1	45809	12	1	
07.02.2004	1	73820	9	1	
07.02.2004	1	79054	13	1	
07.02.2004	1	82545	13	1	
07.02.2004	1	83149	13	1	
07.02.2004	1	83454	10	1	
07.02.2004	1	83563	18	1	
07.02.2004	1	83563	19	1	
08.02.2004	1	1138	16	1	
08.02.2004	1	32271	9	1	
08.02.2004	1	32427	11	1	
08.02.2004	1	32435	16	1	
08.02.2004	1	33340	11	1	
08.02.2004	1	33513	10	1	
08.02.2004	1	36259	13	1	
08.02.2004	1	36259	18	2	
08.02.2004	1	50780	11	2	
08.02.2004	1	50780	17	1	
08.02.2004	1	58592	11	1	
08.02.2004	1	71804	10	1	
09.02.2004	1	487	13	10	
09.02.2004	1	487	14	1	
09.02.2004	1	487	16	4	
09.02.2004	1	11824	14	1	
09.02.2004	1	11945	13	1	
09.02.2004	1	20529	8	1	
09.02.2004	1	24061	14	1	
09.02.2004	1	31050	16	1	
09.02.2004	1	31050	19	1	
09.02.2004	1	32560	19	1	
09.02.2004	1	33340	18	1	
09.02.2004	1	33461	11	1	
09.02.2004	1	33513	18	1	
09.02.2004	1	45804	9	1	
09.02.2004	1	45819	17	1	
09.02.2004	1	45819	18	1	
09.02.2004	1	50780	8	3	
09.02.2004	1	50780	16	2	
09.02.2004	1	52458	12	1	
09.02.2004	1	52458	16	1	
09.02.2004	1	66647	11	1	
09.02.2004	1	71804	18	1	
09.02.2004	1	73820	18	1	
09.02.2004	1	74841	18	1	
09.02.2004	1	79107	17	1	
09.02.2004	1	83149	14	1	
09.02.2004	1	83149	18	1	
09.02.2004	1	83563	19	1	
09.02.2004	1	83667	17	1	
10.02.2004	1	487	12	4	
10.02.2004	1	1151	17	1	
10.02.2004	1	11824	17	1	
10.02.2004	1	27490	17	1	
10.02.2004	1	27498	20	1	
10.02.2004	1	28551	15	1	
10.02.2004	1	31050	17	1	
10.02.2004	1	33036	14	1	
10.02.2004	1	33340	15	1	
10.02.2004	1	36259	10	1	
10.02.2004	1	38453	10	1	
10.02.2004	1	50780	8	2	
10.02.2004	1	52458	15	1	
10.02.2004	1	57168	17	1	
10.02.2004	1	65840	19	1	
10.02.2004	1	79052	17	2	
10.02.2004	1	83149	10	1	
10.02.2004	1	83149	15	1	
11.02.2004	1	487	8	1	
11.02.2004	1	487	18	2	
11.02.2004	1	21269	11	1	
11.02.2004	1	28092	14	1	
11.02.2004	1	31050	11	1	
11.02.2004	1	31050	18	1	
11.02.2004	1	33340	14	1	
11.02.2004	1	50780	9	3	
11.02.2004	1	50780	11	2	
11.02.2004	1	50780	16	1	
11.02.2004	1	50780	17	1	
11.02.2004	1	57168	10	1	
11.02.2004	1	58040	13	1	
11.02.2004	1	65840	15	1	
11.02.2004	1	70282	11	1	
12.02.2004	1	487	13	2	
12.02.2004	1	839	17	1	
12.02.2004	1	11292	15	1	
12.02.2004	1	11824	15	1	
12.02.2004	1	11824	17	2	
12.02.2004	1	13840	16	1	
12.02.2004	1	20529	19	1	
12.02.2004	1	27490	20	1	
12.02.2004	1	32271	12	1	
12.02.2004	1	33068	9	1	
12.02.2004	1	33340	14	1	
12.02.2004	1	36259	17	1	
12.02.2004	1	36768	13	1	
12.02.2004	1	38453	18	1	
12.02.2004	1	40345	20	1	
12.02.2004	1	50780	8	1	
12.02.2004	1	50780	10	2	
12.02.2004	1	50780	11	1	
12.02.2004	1	50780	14	1	
12.02.2004	1	50780	15	1	
12.02.2004	1	56777	13	3	
12.02.2004	1	83149	9	1	
13.02.2004	1	11824	8	1	
13.02.2004	1	11824	11	1	
13.02.2004	1	21269	18	1	
13.02.2004	1	32435	12	1	
13.02.2004	1	32560	12	1	
13.02.2004	1	36259	13	1	
13.02.2004	1	36259	16	1	
13.02.2004	1	40345	13	1	
13.02.2004	1	45911	15	2	
13.02.2004	1	50780	8	1	
13.02.2004	1	50780	12	2	
13.02.2004	1	50780	17	1	
13.02.2004	1	79052	12	1	
13.02.2004	1	83454	9	1	
14.02.2004	1	839	12	1	
14.02.2004	1	10256	13	1	
14.02.2004	1	15955	12	1	
14.02.2004	1	27490	12	1	
14.02.2004	1	27498	14	1	
14.02.2004	1	27498	19	1	
14.02.2004	1	31050	11	1	
14.02.2004	1	32427	10	1	
14.02.2004	1	32435	17	1	
14.02.2004	1	32560	11	1	
14.02.2004	1	36259	14	1	
14.02.2004	1	43700	10	1	
14.02.2004	1	50780	9	1	
14.02.2004	1	50780	11	1	
14.02.2004	1	50780	16	1	
14.02.2004	1	50780	18	2	
14.02.2004	1	57923	12	1	
14.02.2004	1	69349	19	1	
14.02.2004	1	71804	19	2	
14.02.2004	1	74841	10	1	
14.02.2004	1	79107	14	1	
14.02.2004	1	82545	14	1	
14.02.2004	1	82545	19	1	
14.02.2004	1	83480	12	10	
14.02.2004	1	83480	15	5	
14.02.2004	1	83563	16	3	
15.02.2004	1	839	15	1	
15.02.2004	1	27490	12	1	
15.02.2004	1	27498	10	1	
15.02.2004	1	31050	10	1	
15.02.2004	1	31050	16	1	
15.02.2004	1	32560	20	2	
15.02.2004	1	43700	13	1	
15.02.2004	1	45911	14	1	
15.02.2004	1	52458	16	1	
15.02.2004	1	71804	17	1	
15.02.2004	1	82545	10	1	
15.02.2004	1	82545	12	1	
15.02.2004	1	82545	14	1	
15.02.2004	1	83149	18	2	
15.02.2004	1	83480	13	5	
16.02.2004	1	11824	18	1	
16.02.2004	1	11824	19	1	
16.02.2004	1	20529	19	1	
16.02.2004	1	20530	17	1	
16.02.2004	1	21269	16	1	
16.02.2004	1	28092	20	1	
16.02.2004	1	31050	11	1	
16.02.2004	1	31050	18	1	
16.02.2004	1	32560	19	1	
16.02.2004	1	36259	9	1	
16.02.2004	1	36259	18	1	
16.02.2004	1	43700	15	1	
16.02.2004	1	45816	15	1	
16.02.2004	1	45816	19	1	
16.02.2004	1	74841	15	1	
16.02.2004	1	82545	15	2	
16.02.2004	1	82545	19	1	
16.02.2004	1	83480	16	10	
16.02.2004	1	83768	18	1	
17.02.2004	1	848	10	1	
17.02.2004	1	1145	17	1	
17.02.2004	1	2290	12	1	
17.02.2004	1	11824	11	1	
17.02.2004	1	21269	13	1	
17.02.2004	1	21269	14	1	
17.02.2004	1	28092	13	1	
17.02.2004	1	28092	17	1	
17.02.2004	1	28560	18	1	
17.02.2004	1	31054	13	1	
17.02.2004	1	31054	18	1	
17.02.2004	1	32560	9	2	
17.02.2004	1	32560	18	2	
17.02.2004	1	33340	19	1	
17.02.2004	1	36259	12	1	
17.02.2004	1	40345	14	1	
17.02.2004	1	52458	12	1	
17.02.2004	1	52458	18	2	
17.02.2004	1	62773	13	1	
17.02.2004	1	70282	17	1	
17.02.2004	1	71804	14	1	
17.02.2004	1	74841	20	1	
17.02.2004	1	82154	14	1	
17.02.2004	1	83149	13	1	
17.02.2004	1	83215	17	1	
17.02.2004	1	83480	13	5	
17.02.2004	1	83480	17	5	
17.02.2004	1	83667	12	1	
18.02.2004	1	836	16	1	
18.02.2004	1	1151	13	1	
18.02.2004	1	11824	13	1	
18.02.2004	1	11824	19	1	
18.02.2004	1	21269	10	1	
18.02.2004	1	21270	20	1	
18.02.2004	1	32438	17	1	
18.02.2004	1	36259	9	1	
18.02.2004	1	45816	11	1	
18.02.2004	1	74841	18	1	
18.02.2004	1	82845	18	1	
18.02.2004	1	83149	8	1	
18.02.2004	1	83149	19	1	
18.02.2004	1	83563	19	1	
18.02.2004	1	83768	13	1	
19.02.2004	1	11824	10	1	
19.02.2004	1	28551	13	1	
19.02.2004	1	31054	13	1	
19.02.2004	1	33340	10	1	
19.02.2004	1	41527	18	1	
19.02.2004	1	83149	16	1	
20.02.2004	1	11824	14	1	
20.02.2004	1	33338	15	1	
20.02.2004	1	33340	17	1	
20.02.2004	1	83563	10	1	
20.02.2004	1	83768	13	1	
21.02.2004	1	1145	10	1	
21.02.2004	1	20475	15	2	
21.02.2004	1	33338	9	1	
21.02.2004	1	45810	16	1	
21.02.2004	1	71804	9	2	
21.02.2004	1	75406	15	1	
21.02.2004	1	75406	17	1	
21.02.2004	1	79017	15	2	
21.02.2004	1	79054	12	1	
21.02.2004	1	83383	15	3	
21.02.2004	1	83454	14	1	
21.02.2004	1	83480	12	10	
21.02.2004	1	83480	14	3	
21.02.2004	1	83667	16	1	
22.02.2004	1	10648	14	1	
22.02.2004	1	24061	17	1	
22.02.2004	1	27498	10	1	
22.02.2004	1	27498	11	1	
22.02.2004	1	27498	13	1	
22.02.2004	1	28551	19	1	
