Код заявки	Дата выдачи	Возраст	Заемщик.Пол	СемейноеПоложение	Иждивенцы	Образование	Вид деятельности	Стаж	Стаж общий	"Белый" доход	Месячный доход, руб.	Сумма кредита, тыс. руб.	Месячный платеж, руб.	Просрочек свыше 60 дн.
23	14.04.2005	37	Ж	Другое	1-2	Высшее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	22753	176	5834	0
24	15.04.2005	37	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	10640	73	2487	1
25	15.04.2005	30	Ж	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	17630	120	3965	1
26	16.04.2005	36	М	Женат (замужем)	1-2	Высшее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	18230	166	5494	0
27	16.04.2005	27	М	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	От 3 до 5 лет	нет	27345	114	5450	0
28	17.04.2005	33	М	Холост (незамужем)	0	Среднее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	18213	97	4651	0
29	20.04.2005	35	Ж	Холост (незамужем)	0	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	17604	159	5245	0
30	21.04.2005	40	М	Женат (замужем)	3 и более	Высшее	Собственное дело	менее 1 года	Свыше 5 лет	нет	19481	206	6812	0
31	21.04.2005	55	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	13698	120	4077	0
32	22.04.2005	31	Ж	Женат (замужем)	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	9389	93	3058	1
33	26.04.2005	39	М	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	17022	159	5267	0
34	27.04.2005	27	Ж	Другое	0	Высшее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	27388	273	9031	0
35	28.04.2005	27	М	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	9560	81	2649	1
36	28.04.2005	33	М	Женат (замужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	17664	180	5947	1
37	01.05.2005	21	М	Холост (незамужем)	0	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	57876	238	22912	0
38	01.05.2005	41	М	Другое	1-2	Среднее	Собственное дело	менее 1 года	Свыше 5 лет	нет	12182	121	4011	1
39	01.05.2005	33	М	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	15232	67	6416	0
40	01.05.2005	24	М	Женат (замужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	16448	97	2103	1
41	01.05.2005	49	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	18581	101	2199	1
42	02.05.2005	55	М	Женат (замужем)	1-2	Среднее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	10391	86	2923	0
43	02.05.2005	31	М	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	44016	235	7773	0
44	03.05.2005	33	М	Другое	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	7976	141	3111	1
45	03.05.2005	26	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	13758	154	5098	0
46	07.05.2005	36	Ж	Холост (незамужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	18710	222	7765	1
47	07.05.2005	34	Ж	Холост (незамужем)	1-2	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	4617	47	1562	0
48	09.05.2005	40	М	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	5971	81	2763	1
49	10.05.2005	35	М	Женат (замужем)	1-2	Среднее	Собственное дело	Свыше 5 лет	Свыше 5 лет	нет	308	84	2871	1
50	10.05.2005	38	М	Другое	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	24475	81	2103	0
51	13.05.2005	46	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	16200	97	2101	1
52	13.05.2005	30	М	Холост (незамужем)	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	14855	146	4826	1
53	13.05.2005	55	М	Женат (замужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	15437	170	5608	0
54	13.05.2005	41	М	Женат (замужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	15283	136	4494	0
55	14.05.2005	30	М	Другое	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	26608	251	8313	1
56	15.05.2005	51	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	13775	138	4557	0
57	16.05.2005	25	М	Женат (замужем)	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	13227	107	3644	0
58	16.05.2005	24	М	Холост (незамужем)	0	Высшее	Наемный работник	От 3 до 5 лет	От 3 до 5 лет	да	11239	196	4321	1
59	16.05.2005	24	М	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	15763	112	2916	0
60	16.05.2005	34	Ж	Другое	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	4926	51	1699	0
61	17.05.2005	38	М	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	14289	254	8280	0
62	17.05.2005	55	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	10777	74	2443	0
63	20.05.2005	51	М	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	20877	160	5220	0
64	20.05.2005	29	М	Женат (замужем)	1-2	Высшее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	21648	239	7901	0
65	21.05.2005	29	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	13004	82	2678	0
66	21.05.2005	45	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	9877	58	1966	1
67	21.05.2005	24	М	Холост (незамужем)	0	Среднее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	11462	112	3713	1
68	22.05.2005	39	М	Другое	3 и более	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	368	65	2216	1
69	22.05.2005	43	М	Женат (замужем)	0	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	26283	259	8568	0
70	22.05.2005	31	Ж	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	12456	117	3866	0
71	22.05.2005	30	М	Женат (замужем)	1-2	Высшее	Собственное дело	Свыше 5 лет	Свыше 5 лет	нет	18555	151	4977	0
72	23.05.2005	36	М	Женат (замужем)	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	9064	48	1598	0
73	23.05.2005	37	М	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	12353	112	3693	0
74	23.05.2005	27	М	Женат (замужем)	1-2	Высшее	Собственное дело	От 1 до 3 лет	От 3 до 5 лет	нет	23164	155	5112	0
75	23.05.2005	47	М	Женат (замужем)	1-2	Высшее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	28107	257	8386	0
76	24.05.2005	52	М	Другое	0	Среднее	Собственное дело	Свыше 5 лет	Свыше 5 лет	нет	8635	102	3364	0
77	24.05.2005	38	Ж	Холост (незамужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	24681	287	7480	1
78	24.05.2005	26	М	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	17279	154	5083	1
79	27.05.2005	47	М	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	да	3692	236	8040	1
80	27.05.2005	39	М	Холост (незамужем)	0	Высшее	Собственное дело	менее 1 года	Свыше 5 лет	да	25426	282	9336	1
81	27.05.2005	29	М	Холост (незамужем)	0	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	15994	190	6295	0
82	28.05.2005	57	М	Другое	0	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	17228	200	6627	1
83	28.05.2005	29	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	да	10254	89	2931	0
84	28.05.2005	25	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	9226	103	3390	0
85	29.05.2005	54	М	Другое	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	17870	123	2681	1
86	29.05.2005	32	М	Холост (незамужем)	0	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	15403	116	3789	0
87	29.05.2005	35	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	10785	99	2264	0
88	29.05.2005	47	М	Другое	0	Высшее	Собственное дело	менее 1 года	Свыше 5 лет	нет	17407	128	4248	0
89	30.05.2005	43	М	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	3084	247	8155	0
90	30.05.2005	35	М	Женат (замужем)	1-2	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	нет	11711	105	3570	0
91	31.05.2005	31	Ж	Женат (замужем)	1-2	Среднее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	8053	70	2317	0
92	03.06.2005	34	Ж	Другое	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	5774	111	3661	0
93	03.06.2005	26	М	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	17630	99	3350	0
94	03.06.2005	39	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	14709	162	5303	1
95	04.06.2005	23	М	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	24672	196	6659	1
96	04.06.2005	40	Ж	Другое	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	41643	257	8739	1
97	04.06.2005	37	М	Женат (замужем)	1-2	Среднее	Наемный работник	менее 1 года	От 1 до 3 лет	нет	13878	112	3700	0
98	04.06.2005	37	М	Другое	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	21280	185	6101	0
99	05.06.2005	50	Ж	Холост (незамужем)	1-2	Высшее	Собственное дело	Свыше 5 лет	Свыше 5 лет	нет	15471	81	2690	0
100	05.06.2005	29	М	Женат (замужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	17322	117	3972	1
101	05.06.2005	30	М	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	27842	268	8861	0
102	05.06.2005	34	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	1225	124	4113	1
103	05.06.2005	43	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	30934	140	4645	1
104	05.06.2005	31	М	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	23507	285	6201	1
105	06.06.2005	36	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	17407	150	5098	0
106	06.06.2005	36	М	Холост (незамужем)	0	Среднее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	23310	236	7695	1
107	06.06.2005	35	М	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	14298	126	4163	1
108	06.06.2005	43	М	Женат (замужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	10880	85	2817	0
109	06.06.2005	37	М	Другое	0	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	23002	171	5664	0
110	07.06.2005	37	М	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	24681	174	5760	1
111	07.06.2005	34	Ж	Холост (незамужем)	1-2	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	да	7890	90	2981	0
112	07.06.2005	34	М	Женат (замужем)	1-2	Среднее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	18667	81	2690	0
113	07.06.2005	29	М	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	24089	182	4007	1
114	10.06.2005	50	М	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	17999	227	6247	0
115	10.06.2005	34	Ж	Женат (замужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	52754	285	9430	1
116	10.06.2005	29	М	Женат (замужем)	1-2	Высшее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	23276	266	8779	0
117	10.06.2005	49	М	Женат (замужем)	1-2	Высшее	Собственное дело	Свыше 5 лет	Свыше 5 лет	нет	10863	116	3821	0
118	11.06.2005	41	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	27705	228	7533	1
119	11.06.2005	30	М	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	13938	241	5246	1
120	11.06.2005	31	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	18787	263	5729	0
121	11.06.2005	41	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	9860	116	3942	0
122	11.06.2005	36	М	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	16080	142	4709	0
123	12.06.2005	50	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	15471	114	3860	0
124	12.06.2005	39	М	Женат (замужем)	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	16714	171	5584	0
125	12.06.2005	31	М	Женат (замужем)	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	12850	109	2941	1
126	12.06.2005	47	М	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	27850	157	5192	0
127	13.06.2005	38	М	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	40263	250	8269	1
128	13.06.2005	42	Ж	Другое	0	Высшее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	26017	191	4163	0
129	13.06.2005	33	М	Другое	1-2	Среднее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	11771	133	4390	1
130	13.06.2005	26	М	Холост (незамужем)	0	Среднее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	23224	280	6106	1
131	13.06.2005	23	М	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	37162	299	14179	0
132	14.06.2005	43	М	Женат (замужем)	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	17639	191	6322	1
133	14.06.2005	43	Ж	Другое	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	35612	187	6181	0
134	14.06.2005	30	М	Женат (замужем)	0	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	15489	172	5702	0
135	14.06.2005	50	М	Женат (замужем)	1-2	Высшее	Собственное дело	Свыше 5 лет	Свыше 5 лет	нет	22762	260	8589	0
136	14.06.2005	33	М	Женат (замужем)	0	Высшее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	9295	154	5097	0
137	14.06.2005	26	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	15797	101	2188	1
138	17.06.2005	29	М	Холост (незамужем)	0	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	да	5226	192	6344	0
139	17.06.2005	32	М	Другое	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	51957	153	5069	0
140	17.06.2005	36	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	18504	147	4872	0
141	17.06.2005	39	М	Женат (замужем)	1-2	Среднее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	37111	195	6457	1
142	18.06.2005	27	Ж	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	6202	43	1416	0
143	18.06.2005	46	М	Женат (замужем)	0	Высшее	Собственное дело	От 3 до 5 лет	Свыше 5 лет	нет	9303	107	3540	0
144	18.06.2005	25	М	Холост (незамужем)	0	Высшее	Собственное дело	От 1 до 3 лет	От 1 до 3 лет	нет	15497	264	5757	0
145	18.06.2005	32	М	Женат (замужем)	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	15497	140	3050	0
146	18.06.2005	39	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	9303	135	3086	0
147	18.06.2005	41	М	Женат (замужем)	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	8678	86	1914	0
148	18.06.2005	50	М	Женат (замужем)	0	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	нет	10837	116	4105	1
149	19.06.2005	37	М	Женат (замужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	15009	253	5507	1
150	19.06.2005	39	М	Другое	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	14546	174	5909	0
151	19.06.2005	50	М	Женат (замужем)	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	20200	171	5664	0
152	19.06.2005	32	М	Женат (замужем)	3 и более	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	13801	216	4699	0
153	19.06.2005	27	Ж	Другое	0	Высшее	Наемный работник	От 3 до 5 лет	От 3 до 5 лет	нет	15848	127	4203	0
154	19.06.2005	30	М	Женат (замужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	9946	163	3625	0
155	19.06.2005	26	М	Холост (незамужем)	0	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	нет	9946	91	3095	0
156	19.06.2005	30	М	Женат (замужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	8472	188	6231	1
157	20.06.2005	40	М	Другое	1-2	Высшее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	41951	285	9430	1
158	20.06.2005	29	М	Другое	0	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	18718	130	4305	0
159	20.06.2005	25	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	От 3 до 5 лет	да	6237	75	2464	1
160	20.06.2005	46	М	Другое	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	9355	129	4270	0
161	20.06.2005	34	М	Холост (незамужем)	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	12208	181	3993	0
162	20.06.2005	49	М	Женат (замужем)	0	Высшее	Собственное дело	Свыше 5 лет	Свыше 5 лет	нет	24955	248	8213	0
163	20.06.2005	39	М	Холост (незамужем)	0	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	17810	116	4129	1
164	21.06.2005	39	М	Женат (замужем)	1-2	Среднее	Собственное дело	менее 1 года	Свыше 5 лет	нет	14658	144	3218	0
165	21.06.2005	38	М	Женат (замужем)	1-2	Высшее	Собственное дело	Свыше 5 лет	Свыше 5 лет	да	17639	76	3649	0
166	21.06.2005	36	М	Холост (незамужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	9355	53	1788	0
167	21.06.2005	39	М	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	20491	120	5752	0
168	21.06.2005	29	Ж	Другое	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	8138	142	3084	0
169	21.06.2005	32	М	Женат (замужем)	1-2	Высшее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	37428	225	7647	0
170	21.06.2005	37	М	Другое	1-2	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	нет	9355	108	3518	1
171	24.06.2005	47	Ж	Холост (незамужем)	0	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	28013	208	6860	0
172	24.06.2005	43	Ж	Другое	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	6228	68	1474	0
173	25.06.2005	55	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	12490	96	3250	0
174	25.06.2005	37	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	да	15214	64	2107	0
175	25.06.2005	29	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	8747	69	2268	0
176	25.06.2005	41	М	Женат (замужем)	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	14401	146	4813	0
177	25.06.2005	36	М	Другое	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	15326	180	5949	1
178	25.06.2005	36	Ж	Женат (замужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	3752	109	3711	0
179	25.06.2005	33	М	Холост (незамужем)	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	9372	105	2295	0
180	26.06.2005	23	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	34669	115	3903	1
181	26.06.2005	25	М	Холост (незамужем)	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	8344	92	3050	0
182	26.06.2005	30	М	Женат (замужем)	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	22051	144	4758	0
183	26.06.2005	43	М	Женат (замужем)	1-2	Высшее	Собственное дело	Свыше 5 лет	Свыше 5 лет	нет	18495	218	7219	0
184	26.06.2005	45	Ж	Другое	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	11317	195	4249	0
185	26.06.2005	36	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	14246	161	5324	0
186	26.06.2005	34	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	14058	159	5244	0
187	26.06.2005	35	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	7813	86	2832	0
188	27.06.2005	41	М	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	16859	200	6595	0
189	27.06.2005	22	Ж	Холост (незамужем)	0	Среднее	Наемный работник	От 1 до 3 лет	От 3 до 5 лет	нет	16885	165	3588	0
190	27.06.2005	35	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	8926	150	3273	1
191	27.06.2005	34	Ж	Другое	1-2	Высшее	Наемный работник	менее 1 года	От 3 до 5 лет	нет	17810	171	5650	0
192	27.06.2005	49	М	Женат (замужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	8010	179	5926	0
193	27.06.2005	40	М	Женат (замужем)	1-2	Среднее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	23456	137	4531	0
194	27.06.2005	34	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	8164	136	2970	1
195	27.06.2005	29	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	34404	223	7363	0
196	27.06.2005	38	Ж	Другое	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	9398	162	3565	1
